config_name,text_length_label,mos
Inflect-Nano,extended,3.3714
Inflect-Nano,long,3.4491
Inflect-Nano,medium,3.8961
Inflect-Nano,paragraph,3.0134
Inflect-Nano,short,4.1496
Inflect-Nano,tiny,3.0249
Kokoro-ONNX,extended,4.4949
Kokoro-ONNX,long,4.5507
Kokoro-ONNX,medium,4.5444
Kokoro-ONNX,paragraph,4.5221
Kokoro-ONNX,short,4.5118
Kokoro-ONNX,tiny,4.036
Kokoro-PyTorch,extended,4.5274
Kokoro-PyTorch,long,4.545
Kokoro-PyTorch,medium,4.5518
Kokoro-PyTorch,paragraph,4.5265
Kokoro-PyTorch,short,4.5063
Kokoro-PyTorch,tiny,4.082
Pocket-TTS,extended,4.0457
Pocket-TTS,long,4.1362
Pocket-TTS,medium,4.1226
Pocket-TTS,paragraph,4.0662
Pocket-TTS,short,4.4418
Pocket-TTS,tiny,3.7625
Supertonic-2step,extended,1.3414
Supertonic-2step,long,1.4307
Supertonic-2step,medium,1.5816
Supertonic-2step,paragraph,1.3568
Supertonic-2step,short,1.5729
Supertonic-2step,tiny,1.8714
Supertonic-5step,extended,4.0873
Supertonic-5step,long,4.5153
Supertonic-5step,medium,4.3657
Supertonic-5step,paragraph,4.3
Supertonic-5step,short,4.4265
Supertonic-5step,tiny,4.2501
