config_name,text_length_label,text_length_chars,rep,wall_time_sec,audio_duration_sec,rtf,chars_per_sec
Supertonic-2step,tiny,12,1,0.264578,1.393197,0.189907,45.3553
Supertonic-2step,tiny,12,2,0.249006,1.393197,0.17873,48.1917
Supertonic-2step,tiny,12,3,0.278004,1.393197,0.199544,43.1649
Supertonic-2step,tiny,12,4,0.267545,1.393197,0.192037,44.8523
Supertonic-2step,tiny,12,5,0.263719,1.393197,0.18929,45.503
Supertonic-2step,short,59,1,0.516868,4.249252,0.121637,114.149
Supertonic-2step,short,59,2,0.492966,4.249252,0.116012,119.6837
Supertonic-2step,short,59,3,0.528462,4.249252,0.124366,111.6448
Supertonic-2step,short,59,4,0.499685,4.249252,0.117594,118.0744
Supertonic-2step,short,59,5,0.503505,4.249252,0.118493,117.1786
Supertonic-2step,medium,196,1,1.409149,13.653333,0.103209,139.091
Supertonic-2step,medium,196,2,1.365848,13.653333,0.100038,143.5006
Supertonic-2step,medium,196,3,1.417468,13.653333,0.103818,138.2747
Supertonic-2step,medium,196,4,1.332026,13.653333,0.09756,147.1443
Supertonic-2step,medium,196,5,1.38395,13.653333,0.101364,141.6236
Supertonic-2step,long,483,1,3.412085,34.085034,0.100105,141.5557
Supertonic-2step,long,483,2,3.482734,34.085034,0.102178,138.6842
Supertonic-2step,long,483,3,3.38549,34.085034,0.099325,142.6677
Supertonic-2step,long,483,4,3.416014,34.085034,0.10022,141.3929
Supertonic-2step,long,483,5,4.07106,34.085034,0.119438,118.6423
Supertonic-2step,paragraph,851,1,6.41908,62.54898,0.102625,132.5735
Supertonic-2step,paragraph,851,2,6.239993,62.54898,0.099762,136.3784
Supertonic-2step,paragraph,851,3,6.094848,62.54898,0.097441,139.6261
Supertonic-2step,paragraph,851,4,6.757694,62.54898,0.108038,125.9305
Supertonic-2step,paragraph,851,5,6.536347,62.54898,0.1045,130.195
Supertonic-2step,extended,1712,1,13.552273,120.430748,0.112532,126.3257
Supertonic-2step,extended,1712,2,13.26984,120.430748,0.110186,129.0144
Supertonic-2step,extended,1712,3,13.737661,120.430748,0.114071,124.6209
Supertonic-2step,extended,1712,4,13.129677,120.430748,0.109023,130.3916
Supertonic-2step,extended,1712,5,12.088802,120.430748,0.10038,141.6187
Supertonic-5step,tiny,12,1,0.470992,1.393197,0.338066,25.4781
Supertonic-5step,tiny,12,2,0.466465,1.393197,0.334816,25.7254
Supertonic-5step,tiny,12,3,0.630323,1.393197,0.452429,19.0378
Supertonic-5step,tiny,12,4,0.460435,1.393197,0.330488,26.0623
Supertonic-5step,tiny,12,5,0.485988,1.393197,0.348829,24.692
Supertonic-5step,short,59,1,1.012557,4.249252,0.238291,58.2683
Supertonic-5step,short,59,2,0.932269,4.249252,0.219396,63.2864
Supertonic-5step,short,59,3,0.900457,4.249252,0.211909,65.5223
Supertonic-5step,short,59,4,1.041245,4.249252,0.245042,56.6629
Supertonic-5step,short,59,5,0.921756,4.249252,0.216922,64.0083
Supertonic-5step,medium,196,1,2.478482,13.653333,0.181529,79.0807
Supertonic-5step,medium,196,2,2.671798,13.653333,0.195688,73.3588
Supertonic-5step,medium,196,3,2.862649,13.653333,0.209667,68.468
Supertonic-5step,medium,196,4,2.901331,13.653333,0.2125,67.5552
Supertonic-5step,medium,196,5,2.742512,13.653333,0.200868,71.4673
Supertonic-5step,long,483,1,6.453106,34.085034,0.189324,74.8477
Supertonic-5step,long,483,2,7.683407,34.085034,0.225419,62.8627
